text,label
Due to heavy snowfall most students could not reach campus today. As class representatives we kindly request our professors to conduct today's session online so that no academic progress is lost.,suggestion
"Since the electricity has been cut in the main block since morning, we suggest the administration shift today's practical classes to the computer lab in block B which has a generator backup.",suggestion
The water supply in the campus has been disrupted since yesterday due to pipe repair work. We request the administration to arrange drinking water cans at key locations until the supply is restored.,suggestion
Due to the ongoing construction noise near the examination hall it is very difficult to concentrate. We suggest shifting the remaining assessments to the library hall which is quieter and spacious.,suggestion
"As the projector in room 301 stopped working mid lecture today, we suggest the teacher continue the session in the seminar hall which has a working display system.",suggestion
The internet connection on campus has been down since morning making it impossible to submit our assignments online. We request the deadline be extended by one day until connectivity is restored.,suggestion
Due to the bandh called for tomorrow most students from outside the valley will be unable to commute. We kindly request professors to either reschedule or conduct tomorrow's classes online.,suggestion
"Since the lab equipment for the electronics practical was found to be faulty today, we suggest the instructor demonstrate the circuit simulation using software so the session is not wasted.",suggestion
The campus bus did not arrive today due to a vehicle breakdown leaving many students stranded. We suggest the administration arrange an alternative vehicle or reimburse students for today's transport.,suggestion
Due to the cultural parade on the main road the campus surrounding is heavily congested today. We request that today's classes be shifted online to avoid students getting stuck in traffic.,suggestion
"Sir, most students cannot make it to campus today because of the heavy rain. Could you please consider taking the class online?",suggestion
Could the assignment deadline please be extended by one day? The internet was completely down on campus yesterday.,suggestion
It would be great if the campus had a proper indoor common room. Students currently have nowhere to relax between classes.,suggestion
"A permanent counsellor should be available on campus throughout the year, not just during specific mental health events.",suggestion
"The Mental Health Seminar is scheduled for Falgun 1, 2081 at the Library Hall from 2 PM to 4 PM. All students of Pulchowk Campus are encouraged to attend and prioritize their wellbeing.",notice
A free counselling session is being organized by the student welfare office on 15th Magh from 11 AM to 1 PM. Students facing academic stress or personal difficulties are welcome to attend.,notice
The Department of Student Affairs is pleased to announce a one-day mental wellness workshop on Poush 20 at the conference hall. Participation is open to all students and attendance is encouraged.,notice
A stress management and mindfulness session will be conducted by a certified psychologist on 5th Falgun at the seminar hall from 3 PM onwards. All interested students are invited to join.,notice
"The student union is organizing a mental health awareness week from Magh 10 to Magh 16. Various activities including meditation sessions, talks and group discussions will be held throughout the week.",notice
"Heads up everyone, no class tomorrow. Teacher is out of station. Will update when it resumes.",notice
"All 5th semester students please note, viva is scheduled next week. Check the notice board for your slot.",notice
"Quick update, library closing at 4pm today due to internal meeting. Plan your study sessions accordingly.",notice
Pulchowk Campus in collaboration with a mental health NGO is conducting a free online counselling program for students this semester. Interested students can register through the student affairs office.,notice
A peer support group meeting for students experiencing exam anxiety will be held every Friday at 4 PM in room 105. All students are welcome to join and no prior registration is required.,notice
IEEE orientation is tomorrow at 1pm in Library Hall. All juniors must attend. Seniors are welcome too.,notice
"Due to the overwhelming voices from the students. IT club is back with it's annual week long bootcamp to be conducted from upcoming Sunday, 1st July in the LIbrary Hall.The registration form is open for all students of IOE college. Seats are limited so be sure to grab your seat quickly.",notice
"With the constant stress of the modern world,people are more unhappy than ever before. So peace of mind is going to be a rare commodity in the world With the aim to provide a mental stillness the Fitness Club is conducting a ""Mental Health Day "" for the students of IOE to be conducted from the 4th of July to 8th July in the Library Hall.",notice
Due to popular demand LOCUS is back with its article writing competition. Be sure to register by the 4th of August and be ready with your articles.The prize pool  is of Rs50000.,notice
There is no counsellor or mental health professional available on campus despite students repeatedly raising the issue. Many students are suffering silently with no support system in place.,complaint
"The mental health of engineering students at Pulchowk is being severely neglected. Workload is excessive, deadlines overlap and there is absolutely no institutional support provided to struggling students.",complaint
Several students including myself have been experiencing serious anxiety and burnout this semester but the administration has done nothing to address it despite multiple written requests.,complaint
The promised counselling center that was announced last semester has still not been set up. Students who need mental health support have nowhere to go on campus.,complaint
Exam schedules are being changed at the last minute causing extreme stress among students. The administration is completely indifferent to the mental health impact of such poor planning.,complaint
"My exam result was marked incorrectly and despite raising it with the teacher two weeks ago, no correction has been made to my record.",complaint
"My child has been bullied in class for the past month and despite informing the class teacher twice, the situation has not been addressed.",complaint
The projector in my classroom has been broken for three weeks and repeated requests to the maintenance team have gone unanswered.,complaint
"The fee payment was processed on our end ten days ago, yet the school portal still shows an outstanding balance and my son was sent home over it.",complaint
I have not received the teaching materials promised at the start of term and it has forced me to create everything from scratch on top of my existing workload.,complaint
The timetable was changed without any prior notice and I missed an important test because I was in the wrong room at the wrong time.,complaint
The timetable was changed without any prior notice and I missed an important test because I was in the wrong room at the wrong time.,complaint
A student in my class disclosed a serious personal issue to me last week and I still have not received any guidance or support from the counselling department.,complaint
Cheating in exams is very openly happening in our college. Students who cannot solve basic problems are somehow passing easily.,complaint
The hostel mess serves the same dal bhat and aloo every single day. We pay Rs 7000 but the quality is absolutely terrible.,complaint
Our teacher has been absent for 8 out of 12 classes. No substitute has been arranged. More than half the syllabus is still uncovered.,complaint
The network lecturer has great subject knowledge but the classroom is too small for 60 students. Hard to hear from the back rows.,feedback
The economics lecturer relies too much on slides and never gives real world examples. Classes feel quite boring and dry.,feedback
The science fair had good experiments but honestly most students were just standing around with no real interest shown.,feedback
The internship placement cell did a good job bringing in diverse companies this year. However the soft skills training before the fair was very weak.,feedback
The IEEE orientation was very informative. Got a clear picture of what the club does and what opportunities are available. Would recommend all juniors attend.,feedback
The new biometric attendance system is good for reducing bunking but the fingerprint scanner fails multiple times every single day.,feedback
The coding bootcamp mentors were incredibly patient and the curriculum was very hands on. The fee was a bit on the higher side though.,feedback
The blood donation camp was very well organized. Really proud of the student union for putting this together.,feedback
Prof. Miller taught me to do elegant proofs in 18.014 Calculus with Theory. He is a great professor you learn so much but have to put efforts . He do proofs very natural and is a brilliant Mathematician . Sofía,feedback
"In 2006 I took Math 18.014 Calculus with Theory with Professor Haynes R Miller . Is an excellent Professor he explained extremely well but the class is extremely beautiful and difficult. We used Tom Apostol Book that has two Volume This Course cover a lot of material From Single Variable Calculus, Multivariable Calculus, Linear Algebra and ODES",feedback
"Mr Ram,our economics professor  is a very knowledgeable person with clear and concise presentation, sense of humor without being cheesy and was a fair grader.",feedback
Mr.Saurav Das our operating system teacher was very rude to the students  in classroom and would complain all the time about the college administration especially concerning his salary and was always late to arrive in classroom.,feedback
Mr.Noah Xhosa was a very funny teacher and would always give short stories from his life but the content he taught was very boring to go through.He tried his very best to make the content as engaging as possible.,feedback
"UIC offers strong student support, including healthcare, legal aid, and mental health services. On an individual level, UIC is amazing because of the people who genuinely support students. However, institutionally there are still disparities on campus and a noticeable disconnect in support for Black students that should be addressed and improved.",feedback
"The ""Basics Of Engineering"" program conducted by the IT club was very helpful of us juniors who were just getting the hang of the engineering life and I got to learn about the stories of Aluminis and also got to meet new friends along with valuble insights on the upcoming four years.",feedback
"The grading criteria for the essay was changed after we submitted our work, and my score dropped significantly as a result.",complaint
My son's internal assessment marks were never uploaded to the portal and he is now at risk of failing the term despite completing all his work.,complaint
"My daughter came home with an injury she said happened during PE, but no incident report was filed and the school has not contacted us to explain what occurred.",complaint
"I have submitted my leave application three times through the official channel and it has still not been approved or acknowledged, leaving my class without a cover plan.",complaint
The lab equipment assigned to our group was faulty during the practical exam and the invigilator refused to allow us extra time to compensate.,complaint
"A junior colleague was promoted to department head despite having less experience and no prior leadership role, and the selection process was never made transparent to existing staff.",complaint
The Wi-Fi in the computer lab drops out constantly during online assessments and we have raised this issue multiple times with no resolution.,complaint
